,Player,Year,active_to,Agility,Sprint,Body Fat,Bench,Weight,Height (No Shoes),Vertical (Max Reach),Vertical (No Step Reach),big_man,Years_Played,Expected_Output,Weight_by_Height,Weight_by_BF,Height_by_BF,WBF_by_H
27,Dante Cunningham,2009,2018,11.18,3.26,4.8,18.0,227.0,79.0,141.5,134.5,1,9,1,2.8734177215189876,47.29166666666667,16.458333333333336,0.1379240506329114
28,DaJuan Summers,2009,2013,10.94,3.17,6.6,15.0,243.0,79.25,141.0,136.0,1,4,0,3.0662460567823344,36.81818181818182,12.007575757575758,0.20237223974763408
29,Sam Young,2009,2013,11.47,3.45,4.9,11.051531938913339,223.0,77.25,138.5,133.0,1,4,0,2.8867313915857604,45.51020408163265,15.765306122448978,0.14144983818770226
30,DeJuan Blair,2009,2016,11.5,3.45,12.0,18.0,277.0,77.25,139.5,132.5,1,7,1,3.585760517799353,23.083333333333332,6.4375,0.43029126213592234
31,Tyreke Evans,2009,2018,11.81,3.17,7.1,7.0,221.0,76.0,138.0,132.5,0,9,1,2.9078947368421053,31.126760563380284,10.704225352112676,0.20646052631578946
32,Derrick Brown,2009,2012,11.26,3.13,8.6,20.0,225.0,79.5,143.0,138.0,1,3,0,2.830188679245283,26.16279069767442,9.244186046511627,0.2433962264150943
33,Jodie Meeks,2009,2018,10.96,3.1,8.0,14.0,211.0,75.0,135.0,126.5,0,9,1,2.8133333333333335,26.375,9.375,0.22506666666666666
34,Marcus Thornton,2009,2017,10.73,3.28,4.8,14.0,194.0,74.75,132.0,130.0,0,8,1,2.5953177257525084,40.41666666666667,15.572916666666668,0.1245752508361204
36,Chase Budinger,2009,2016,11.08,3.24,10.0,10.0,206.0,78.25,139.5,130.5,1,7,1,2.63258785942492,20.6,7.825,0.263258785942492
37,Danny Green,2009,2018,11.3,3.3,5.6,15.0,208.0,77.25,136.0,132.0,0,9,1,2.692556634304207,37.142857142857146,13.794642857142858,0.1507831715210356
38,Danny Green,2008,2018,11.21654797807745,3.232564908440313,5.2,14.0,207.0,76.5,137.96789377826053,132.4295293029936,0,10,1,2.7058823529411766,39.80769230769231,14.711538461538462,0.14070588235294118
39,Gani Lawal,2009,2011,11.93,3.34,7.2,17.0,229.0,79.75,140.5,136.0,1,2,0,2.871473354231975,31.805555555555554,11.07638888888889,0.20674608150470222
